# T48 IC catalog generated from XGecu T48 SDK/T48_List.txt
Device	Manufacturer	RawId	SizeBytes	PageSize	Volts	Protocol	CommandSet	Type	Supported
BY25D10FVT	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVS	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVO	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVU	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25D10FVM	BOYA MICRO		131072	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20AST	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20ASS	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20AVT	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20AVS	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20AVO	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20AVU	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20EST	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20ESS	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20ESO	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20ESU	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20ESM	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20EWT	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20EWS	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20EWO	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20EWU	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20EWM	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FST	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FSS	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FSO	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FSU	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FSM	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FVT	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FVS	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FVO	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FVU	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D20FVM	BOYA MICRO		262144	256	3.3	SPI	25xx	SPI_NOR	true
BY25D40AS	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25D40EST	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25D40ESS	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25D40ESO	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25D40ESU	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25D40ESM	BOYA MICRO		524288	256	3.3	SPI	25xx	SPI_NOR	true
BY25D80AS	BOYA MICRO		1048576	256	3.3	SPI	25xx	SPI_NOR	true
BY25D16AS	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ELT	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ELS	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ELH	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ELQ	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ELW	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64EST	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ESS	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ESH	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ESQ	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB64ESW	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ELT	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ELS	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ELE	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ELQ	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ELW	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ELF	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128EST	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ESS	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ESE	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ESQ	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ESW	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB128ESF	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB256ELS	BOYA MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB256ELE	BOYA MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB256ELW	BOYA MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FB256ELF	BOYA MICRO		33554432	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELT	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELS	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELO	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELU	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELM	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELN	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELH	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELQ	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELW	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ELE	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16EST	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESS	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESO	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESU	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESM	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESN	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESH	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESQ	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESW	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ16ESE	BOYA MICRO		2097152	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ELT	BOYA MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ELS	BOYA MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ELU	BOYA MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ELH	BOYA MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ELQ	BOYA MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ELW	BOYA MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32EST	BOYA MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ESS	BOYA MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ESU	BOYA MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ESH	BOYA MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ESQ	BOYA MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ32ESW	BOYA MICRO		4194304	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ELT	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ELS	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ELH	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ELQ	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ELW	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64EST	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ESS	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ESH	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ESQ	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ64ESW	BOYA MICRO		8388608	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ELT	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ELS	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ELE	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ELQ	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ELW	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ELF	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128EST	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ESS	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ESE	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ESQ	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ESW	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128ESF	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128GST	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128GSS	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128GSE	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128GSQ	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128GSW	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
BY25FQ128GSZ	BOYA MICRO		16777216	256	3.3	SPI	25xx	SPI_NOR	true
